Month,Exports,Imports,OT,start_date,date,end_date
January 2024,160578.7,253800.2,-93221.5,2024-01-01,2024-01-01,2024-01-31
February 2024,167171.5,242611.4,-75439.9,2024-02-01,2024-02-01,2024-02-29
March 2024,179325.9,259144.7,-79818.8,2024-03-01,2024-03-01,2024-03-31
January 2023,165342.2,254438.5,-89096.3,2023-01-01,2023-01-01,2023-01-31
February 2023,158850.8,230706.8,-71856.0,2023-02-01,2023-02-01,2023-02-28
March 2023,184620.5,262756.3,-78135.8,2023-03-01,2023-03-01,2023-03-31
April 2023,162063.7,250751.8,-88688.2,2023-04-01,2023-04-01,2023-04-30
May 2023,167127.6,264348.9,-97221.4,2023-05-01,2023-05-01,2023-05-31
June 2023,167303.0,257886.6,-90583.6,2023-06-01,2023-06-01,2023-06-30
July 2023,159618.9,255665.9,-96047.1,2023-07-01,2023-07-01,2023-07-31
August 2023,171404.5,266026.9,-94622.4,2023-08-01,2023-08-01,2023-08-31
September 2023,171272.3,261306.3,-90034.0,2023-09-01,2023-09-01,2023-09-30
October 2023,178021.0,276831.6,-98810.6,2023-10-01,2023-10-01,2023-10-31
November 2023,167193.2,255909.3,-88716.1,2023-11-01,2023-11-01,2023-11-30
December 2023,167788.2,247425.9,-79637.6,2023-12-01,2023-12-01,2023-12-31
January 2022,147848.0,247065.3,-99217.3,2022-01-01,2022-01-01,2022-01-31
February 2022,150555.2,234218.6,-83663.4,2022-02-01,2022-02-01,2022-02-28
March 2022,179313.8,295975.4,-116661.7,2022-03-01,2022-03-01,2022-03-31
April 2022,173533.9,273176.8,-99642.9,2022-04-01,2022-04-01,2022-04-30
May 2022,179047.5,285388.2,-106340.7,2022-05-01,2022-05-01,2022-05-31
June 2022,182662.9,286285.2,-103622.3,2022-06-01,2022-06-01,2022-06-30
July 2022,175896.8,270907.4,-95010.6,2022-07-01,2022-07-01,2022-07-31
August 2022,181182.3,283635.4,-102453.1,2022-08-01,2022-08-01,2022-08-31
September 2022,175979.9,275343.2,-99363.2,2022-09-01,2022-09-01,2022-09-30
October 2022,180101.4,281736.6,-101635.3,2022-10-01,2022-10-01,2022-10-31
November 2022,171279.9,255967.3,-84687.4,2022-11-01,2022-11-01,2022-11-30
December 2022,167755.3,252830.3,-85075.0,2022-12-01,2022-12-01,2022-12-31
January 2021,128162.0,204638.9,-76476.9,2021-01-01,2021-01-01,2021-01-31
February 2021,124182.0,193444.8,-69262.8,2021-02-01,2021-02-01,2021-02-28
March 2021,152670.6,236920.5,-84249.9,2021-03-01,2021-03-01,2021-03-31
April 2021,144017.7,226454.3,-82436.6,2021-04-01,2021-04-01,2021-04-30
May 2021,145815.2,230405.4,-84590.2,2021-05-01,2021-05-01,2021-05-31
June 2021,148067.5,242328.9,-94261.4,2021-06-01,2021-06-01,2021-06-30
July 2021,144269.8,237297.4,-93027.6,2021-07-01,2021-07-01,2021-07-31
August 2021,148295.2,245205.3,-96910.1,2021-08-01,2021-08-01,2021-08-31
September 2021,142338.9,244374.7,-102035.8,2021-09-01,2021-09-01,2021-09-30
October 2021,164137.6,251297.4,-87159.8,2021-10-01,2021-10-01,2021-10-31
November 2021,156533.2,259414.4,-102881.2,2021-11-01,2021-11-01,2021-11-30
December 2021,159331.9,257092.8,-97760.9,2021-12-01,2021-12-01,2021-12-31
January 2020,129119.5,195796.2,-66676.7,2020-01-01,2020-01-01,2020-01-31
February 2020,131117.0,178108.0,-46991.0,2020-02-01,2020-02-01,2020-02-29
March 2020,133295.7,193922.8,-60627.1,2020-03-01,2020-03-01,2020-03-31
April 2020,94709.0,165611.9,-70902.9,2020-04-01,2020-04-01,2020-04-30
May 2020,91026.8,163494.1,-72467.3,2020-05-01,2020-05-01,2020-05-31
June 2020,105122.4,179138.1,-74015.7,2020-06-01,2020-06-01,2020-06-30
July 2020,113303.5,199927.7,-86624.2,2020-07-01,2020-07-01,2020-07-31
August 2020,118351.8,203112.0,-84760.2,2020-08-01,2020-08-01,2020-08-31
September 2020,121447.9,206083.7,-84635.8,2020-09-01,2020-09-01,2020-09-30
October 2020,132638.5,218952.6,-86314.1,2020-10-01,2020-10-01,2020-10-31
November 2020,127232.2,212453.3,-85221.1,2020-11-01,2020-11-01,2020-11-30
December 2020,132631.0,214876.8,-82245.7,2020-12-01,2020-12-01,2020-12-31
January 2019,129868.7,203980.7,-74112.0,2019-01-01,2019-01-01,2019-01-31
February 2019,130075.1,185267.5,-55192.5,2019-02-01,2019-02-01,2019-02-28
March 2019,148549.4,207511.0,-58961.7,2019-03-01,2019-03-01,2019-03-31
April 2019,135077.4,208742.1,-73664.8,2019-04-01,2019-04-01,2019-04-30
May 2019,142531.2,220207.6,-77676.4,2019-05-01,2019-05-01,2019-05-31
June 2019,138284.0,206531.6,-68247.5,2019-06-01,2019-06-01,2019-06-30
July 2019,133436.0,218311.1,-84875.2,2019-07-01,2019-07-01,2019-07-31
August 2019,138665.4,215245.8,-76580.5,2019-08-01,2019-08-01,2019-08-31
September 2019,134381.9,206148.9,-71767.0,2019-09-01,2019-09-01,2019-09-30
October 2019,142478.6,218901.1,-76422.5,2019-10-01,2019-10-01,2019-10-31
November 2019,137137.1,198974.6,-61837.5,2019-11-01,2019-11-01,2019-11-30
December 2019,135455.6,201877.4,-66421.7,2019-12-01,2019-12-01,2019-12-31
January 2018,125038.5,203028.9,-77990.4,2018-01-01,2018-01-01,2018-01-31
February 2018,128218.8,186770.2,-58551.5,2018-02-01,2018-02-01,2018-02-28
March 2018,149561.8,207985.5,-58423.7,2018-03-01,2018-03-01,2018-03-31
April 2018,138230.4,205084.4,-66854.0,2018-04-01,2018-04-01,2018-04-30
May 2018,145527.7,216026.5,-70498.9,2018-05-01,2018-05-01,2018-05-31
June 2018,145498.5,211252.7,-65754.1,2018-06-01,2018-06-01,2018-06-30
July 2018,133808.2,216854.2,-83046.0,2018-07-01,2018-07-01,2018-07-31
August 2018,140217.8,221897.0,-81679.2,2018-08-01,2018-08-01,2018-08-31
September 2018,139388.9,211317.5,-71928.6,2018-09-01,2018-09-01,2018-09-30
October 2018,147081.9,235857.7,-88775.8,2018-10-01,2018-10-01,2018-10-31
November 2018,139278.2,213493.0,-74214.8,2018-11-01,2018-11-01,2018-11-30
December 2018,133936.1,206577.7,-72641.6,2018-12-01,2018-12-01,2018-12-31
January 2017,117528.0,185653.7,-68125.7,2017-01-01,2017-01-01,2017-01-31
February 2017,119234.2,169238.1,-50004.0,2017-02-01,2017-02-01,2017-02-28
March 2017,135977.0,194066.1,-58089.1,2017-03-01,2017-03-01,2017-03-31
April 2017,123925.3,185868.2,-61942.9,2017-04-01,2017-04-01,2017-04-30
May 2017,127881.1,200330.9,-72449.8,2017-05-01,2017-05-01,2017-05-31
June 2017,132711.2,198174.4,-65463.2,2017-06-01,2017-06-01,2017-06-30
July 2017,122201.7,191754.5,-69552.8,2017-07-01,2017-07-01,2017-07-31
August 2017,129236.6,201557.2,-72320.7,2017-08-01,2017-08-01,2017-08-31
