CBSA,CBSA Code,date,OT,Category,Defining Parameter,Defining Site,Number of Sites Reporting,start_date,end_date
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-01,94,Moderate,CO,34-027-0003,23,1980-01-01,1980-01-01
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-02,115,Unhealthy for Sensitive Groups,CO,34-027-0003,24,1980-01-02,1980-01-02
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-03,95,Moderate,CO,34-027-0003,24,1980-01-03,1980-01-03
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-04,135,Unhealthy for Sensitive Groups,CO,34-027-0003,25,1980-01-04,1980-01-04
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-05,88,Moderate,CO,34-027-0003,25,1980-01-05,1980-01-05
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-06,74,Moderate,NO2,36-059-0005,25,1980-01-06,1980-01-06
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-07,81,Moderate,CO,36-059-0005,25,1980-01-07,1980-01-07
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-08,90,Moderate,CO,36-061-0058,25,1980-01-08,1980-01-08
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-09,95,Moderate,CO,34-023-2003,25,1980-01-09,1980-01-09
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-10,101,Unhealthy for Sensitive Groups,CO,34-017-1002,25,1980-01-10,1980-01-10
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-11,211,Very Unhealthy,CO,34-027-0003,25,1980-01-11,1980-01-11
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-12,52,Moderate,CO,36-061-0062,25,1980-01-12,1980-01-12
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-13,63,Moderate,CO,34-017-1002,25,1980-01-13,1980-01-13
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-14,180,Unhealthy,CO,34-027-0003,25,1980-01-14,1980-01-14
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-15,71,Moderate,CO,34-027-0003,24,1980-01-15,1980-01-15
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-16,161,Unhealthy,CO,34-027-0003,24,1980-01-16,1980-01-16
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-17,135,Unhealthy for Sensitive Groups,CO,34-027-0003,24,1980-01-17,1980-01-17
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-18,115,Unhealthy for Sensitive Groups,CO,34-025-2001,23,1980-01-18,1980-01-18
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-19,75,Moderate,CO,36-061-0062,23,1980-01-19,1980-01-19
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-20,52,Moderate,CO,36-061-0058,23,1980-01-20,1980-01-20
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-21,90,Moderate,CO,36-061-0058,24,1980-01-21,1980-01-21
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-22,100,Moderate,CO,34-027-0003,24,1980-01-22,1980-01-22
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-23,104,Unhealthy for Sensitive Groups,CO,36-061-0058,24,1980-01-23,1980-01-23
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-24,77,Moderate,CO,36-061-0058,25,1980-01-24,1980-01-24
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-25,95,Moderate,CO,34-025-2001,25,1980-01-25,1980-01-25
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-26,70,Moderate,CO,34-025-2001,25,1980-01-26,1980-01-26
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-27,89,Moderate,NO2,36-059-0005,25,1980-01-27,1980-01-27
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-28,87,Moderate,CO,36-061-0058,25,1980-01-28,1980-01-28
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-29,89,Moderate,CO,36-061-0058,25,1980-01-29,1980-01-29
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-30,85,Moderate,CO,36-061-0058,26,1980-01-30,1980-01-30
