date,start_date,end_date,REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,OT,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS,YEAR_WEEK
1997-09-29,1997-09-29,1997-10-05,National,X,1997,40,1.10148,1.21686,179,X,157,205,X,29,570,192,46842,1997-40
1997-10-06,1997-10-06,1997-10-12,National,X,1997,41,1.20007,1.28064,199,X,151,242,X,23,615,191,48023,1997-41
1997-10-13,1997-10-13,1997-10-19,National,X,1997,42,1.37876,1.23906,228,X,153,266,X,34,681,219,54961,1997-42
1997-10-20,1997-10-20,1997-10-26,National,X,1997,43,1.1992,1.14473,188,X,193,236,X,36,653,213,57044,1997-43
1997-10-27,1997-10-27,1997-11-02,National,X,1997,44,1.65618,1.26112,217,X,162,280,X,41,700,213,55506,1997-44
1997-11-03,1997-11-03,1997-11-09,National,X,1997,45,1.41326,1.28275,178,X,148,281,X,48,655,195,51062,1997-45
1997-11-10,1997-11-10,1997-11-16,National,X,1997,46,1.9868,1.44579,294,X,240,328,X,70,932,248,64463,1997-46
1997-11-17,1997-11-17,1997-11-23,National,X,1997,47,2.44749,1.64796,288,X,293,456,X,63,1100,256,66749,1997-47
1997-11-24,1997-11-24,1997-11-30,National,X,1997,48,1.73901,1.67517,268,X,206,343,X,69,886,252,52890,1997-48
1997-12-01,1997-12-01,1997-12-07,National,X,1997,49,1.93919,1.61739,299,X,282,415,X,102,1098,253,67887,1997-49
1997-12-08,1997-12-08,1997-12-14,National,X,1997,50,2.28166,1.76632,346,X,268,388,X,81,1083,242,61314,1997-50
1997-12-15,1997-12-15,1997-12-21,National,X,1997,51,2.50761,2.10398,348,X,235,362,X,59,1004,190,47719,1997-51
1997-12-22,1997-12-22,1997-12-28,National,X,1997,52,4.11352,3.13655,510,X,404,492,X,113,1519,251,48429,1997-52
