,start_date,end_date,fact,preds
0,2024-04-08,2024-04-11,,
1,2024-04-01,2024-04-03,,
2,2024-03-13,2024-03-15,,
3,2024-02-10,2024-02-12,,
4,2024-01-14,2024-01-18,,
5,2024-01-12,2024-01-15,,
6,2024-01-08,2024-01-10,,
7,2023-12-16,2023-12-18,,
8,2023-04-01,2023-09-30,,
9,2023-09-23,2023-09-24,,
10,2023-08-29,2023-08-31,,
11,2023-08-11,2023-08-11,,
12,2023-08-08,2023-08-08,,
13,2023-08-05,2023-08-08,,
14,2023-07-28,2023-07-29,,
15,2023-07-19,2023-07-21,,
16,2023-07-09,2023-07-15,,
17,2023-06-28,2023-07-02,,
18,2023-06-21,2023-06-26,,
19,2023-06-15,2023-06-18,,
20,2023-06-11,2023-06-14,,
21,2023-05-24,2023-05-25,,
22,2023-05-18,2023-05-19,,
23,2023-05-10,2023-05-12,,
24,2023-05-06,2023-05-08,,
25,2023-04-25,2023-04-27,,
26,2023-04-19,2023-04-20,,
27,2023-04-15,2023-04-15,,
28,2023-04-12,2023-04-13,,
29,2023-04-04,2023-04-06,,
30,2023-03-31,2023-04-01,,
31,2023-03-24,2023-03-26,,
32,2022-12-26,2023-03-19,,
33,2023-03-02,2023-03-03,,
34,2023-02-02,2023-02-05,,
35,2022-01-01,2022-12-31,,
36,2022-12-21,2022-12-26,,
37,2022-04-01,2022-11-30,,
38,2022-11-10,2022-11-11,,
39,2022-09-28,2022-09-30,,
40,2022-09-17,2022-09-18,,
41,2022-07-26,2022-07-28,,
42,2022-07-22,2022-07-24,,
43,2022-06-13,2022-06-13,,
44,2022-06-07,2022-06-08,,
45,2022-05-19,2022-05-19,,
46,2022-05-11,2022-05-12,,
47,2022-05-09,2022-05-09,,
48,2022-05-01,2022-05-03,,
49,2022-04-11,2022-04-13,,
50,2022-04-04,2022-04-06,,
51,2022-03-30,2022-03-30,,
52,2022-02-21,2022-02-22,,
53,2021-06-01,2021-12-31,,
54,2021-01-01,2021-12-31,,
55,2021-12-15,2021-12-15,,
56,2021-12-10,2021-12-10,,
57,2021-09-14,2021-09-18,,
58,2021-08-29,2021-09-01,,
59,2021-08-16,2021-08-18,,
60,2021-08-10,2021-08-13,,
61,2021-07-08,2021-07-11,,
62,2021-07-07,2021-07-09,,
63,2021-06-24,2021-06-26,,
64,2021-06-17,2021-06-18,,
65,2021-05-17,2021-05-18,,
66,2021-05-02,2021-05-04,,
67,2021-04-27,2021-04-28,,
68,2021-04-12,2021-04-15,,
69,2021-03-27,2021-03-28,,
70,2021-03-24,2021-03-25,,
71,2021-02-10,2021-02-19,,
72,2021-01-24,2021-01-29,,
73,2020-08-01,2020-12-30,,
74,2020-06-01,2020-12-30,,
75,2020-11-08,2020-11-12,,
76,2020-10-28,2020-10-29,,
77,2020-10-09,2020-10-11,,
78,2020-09-15,2020-09-17,,
79,2020-08-27,2020-08-28,,
80,2020-08-10,2020-08-10,,
81,2020-08-03,2020-08-04,,
82,2020-07-25,2020-07-26,,
83,2020-07-10,2020-07-11,,
84,2020-05-27,2020-05-27,,
85,2020-05-20,2020-05-23,,
86,2020-05-03,2020-05-05,,
87,2020-04-27,2020-04-30,,
88,2020-04-21,2020-04-23,,
89,2020-04-12,2020-04-13,,
90,2020-04-07,2020-04-08,,
91,2020-03-27,2020-03-28,,
92,2020-03-02,2020-03-04,,
93,2020-02-05,2020-02-07,,
94,2020-01-10,2020-01-12,,
95,2019-06-01,2019-11-30,,
96,2019-10-20,2019-10-20,,
97,2019-09-17,2019-09-21,,
98,2019-08-28,2019-09-06,,
99,2019-03-15,2019-07-31,,
